first_transaction_amount,time_to_first_txn,loc_hmg_coeff_0.25,loc_hmg_coeff_0.5,loc_hmg_coeff_0.75,loc_hmg_coeff_1.0,org_fraud_prevalence
150.0,0,0.0,0.0,0.0,1.0,0.0252442996743
1.0,6,0.0,0.0,0.0,1.0,0.125
10.0,0,0.0,0.0,0.0,1.0,0.0293785310734
1.0,0,0.0,0.0,0.0,1.0,0.0466666666667
4000.0,1,0.0,0.0,0.0,1.0,0.0226492793411
14.0,313,0.0,1.0,0.0,0.0,0.0246470983643
0.01,48,0.0,0.0,0.0,1.0,0.0246470983643
100.0,8,0.0,0.0,0.0,1.0,0.0246470983643
425.0,29,0.0,0.0,1.0,0.0,0.0246470983643
1.0,6,0.0,0.0,0.0,1.0,0.0222222222222
245.0,4,0.0,0.0,0.0,1.0,0.0466666666667
5.0,7,0.0,0.0,0.0,1.0,0.0512820512821
1.0,0,0.0,0.0,0.0,1.0,0.0240760923412
25.0,9,0.0,0.0,0.0,1.0,0.0244435612083
1.0,1,0.0,0.0,0.0,1.0,0.0240760923412
131.5,211,0.0,1.0,0.0,0.0,0.0130952380952
1.0,0,0.0,0.0,0.0,1.0,0.0240760923412
200.0,0,0.0,0.0,0.0,1.0,0.0
469.0,35,0.0,0.0,0.0,1.0,0.0172359266287
34.0,1,0.0,0.0,0.0,1.0,0.0241172898412
480.0,9,0.0,0.0,0.0,1.0,0.0293785310734
34.88,76,0.0,0.0,0.0,1.0,0.062404870624
1.0,0,0.0,0.0,1.0,0.0,0.0422535211268
170.0,6,0.0,0.0,0.0,1.0,0.0246470983643
348.0,25,0.0,0.0,0.0,1.0,0.0
5.0,9,0.0,0.0,0.0,1.0,0.0244435612083
163.41,123,0.0,0.0,0.0,1.0,0.0246470983643
1.0,0,0.0,0.0,0.0,1.0,0.0293785310734
1.0,10,0.0,1.0,0.0,0.0,0.0688935281837
5.0,15,0.0,0.0,0.0,1.0,0.0241172898412
1.0,9,0.0,0.0,0.0,1.0,0.0199203187251
5.0,7,0.0,0.0,0.0,1.0,0.0172359266287
30.0,120,0.0,0.0,0.0,1.0,0.0252763094666
0.07,37,0.0,0.0,0.0,1.0,0.0252763094666
1.0,4,0.0,1.0,0.0,0.0,0.10119047619
200.0,28,0.0,0.0,0.0,1.0,0.0246470983643
41.18,1,0.0,0.0,0.0,1.0,0.0205479452055
1.0,6,0.0,0.0,0.0,1.0,0.0293785310734
12.0,339,0.0,0.0,0.0,1.0,0.0252763094666
1.0,19,0.0,0.0,1.0,0.0,0.0244435612083
0.01,12,0.0,0.0,0.0,1.0,0.0270162892332
55.0,17,0.0,0.0,0.0,1.0,0.0241172898412
357.22,26,0.0,0.0,0.0,1.0,0.0252763094666
10.0,6,0.0,0.0,0.0,1.0,0.0241172898412
110.0,76,0.0,1.0,0.0,0.0,0.0130952380952
1.0,19,0.0,0.0,0.0,1.0,0.0240760923412
1.0,9,0.0,1.0,0.0,0.0,0.0266931055522
150.0,37,0.0,0.0,0.0,1.0,0.0241172898412
30.0,12,0.0,0.0,0.0,1.0,0.0715048025614
2407.1,25,0.0,0.0,0.0,1.0,0.0172359266287
600.0,90,0.0,0.0,0.0,1.0,0.0252763094666
700.0,0,0.0,0.0,0.0,1.0,0.0244435612083
2500.0,637,0.0,0.0,0.0,1.0,0.0246470983643
38.5,0,0.0,0.0,0.0,1.0,0.0
